county_qualified_name	homes_sold	new_listings	inventory	median_dom	months_of_supply	state_code	county_name	months_averaged	County	State	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile	property_count	state_abbrev
Blount County, AL	43.0	47.92	121.54	48.31	3.0	AL	Blount County	12	Blount County	Alabama	1128	809	319	79	42	291	199	139	0.39	1.1	0.4	0.3	0.039	20841	1148	6146	0.055	0.295	0.77	0.7	0.67	258.0	0.42	1149.0	0.23	57826	450	0.8	88.9	43,230	AL
Blount County, AL	44.0	49.38	120.19	49.0	2.89	AL	Blount County	18	Blount County	Alabama	1128	809	319	79	42	291	199	139	0.39	1.1	0.4	0.3	0.039	20841	1148	6146	0.055	0.295	0.77	0.7	0.67	258.0	0.42	1149.0	0.23	57826	450	0.8	88.9	43,230	AL
Bullock County, AL	1.0	1.0	3.0	20.0	3.0	AL	Bullock County	3	Bullock County	Alabama	205	140	65	6	4	44	30	17	0.46	1.48	0.2	0.24	0.027	5155	1046	3340	0.203	0.648	0.29	0.22	0.22	125.5	2.14	2266.0	-0.76	10101	-775	-7.7	16.1	10,523	AL
Bullock County, AL	1.25	1.0	4.25	225.75	3.88	AL	Bullock County	6	Bullock County	Alabama	205	140	65	6	4	44	30	17	0.46	1.48	0.2	0.24	0.027	5155	1046	3340	0.203	0.648	0.29	0.22	0.22	125.5	2.14	2266.0	-0.76	10101	-775	-7.7	16.1	10,523	AL
Bullock County, AL	1.43	1.0	4.57	164.57	3.64	AL	Bullock County	12	Bullock County	Alabama	205	140	65	6	4	44	30	17	0.46	1.48	0.2	0.24	0.027	5155	1046	3340	0.203	0.648	0.29	0.22	0.22	125.5	2.14	2266.0	-0.76	10101	-775	-7.7	16.1	10,523	AL
Bullock County, AL	1.5	1.0	4.75	147.88	3.56	AL	Bullock County	18	Bullock County	Alabama	205	140	65	6	4	44	30	17	0.46	1.48	0.2	0.24	0.027	5155	1046	3340	0.203	0.648	0.29	0.22	0.22	125.5	2.14	2266.0	-0.76	10101	-775	-7.7	16.1	10,523	AL
Butler County, AL	4.0	6.5	19.0	47.5	6.65	AL	Butler County	1	Butler County	Alabama	408	328	80	5	4	49	38	19	0.24	1.63	0.13	0.21	0.032	10377	2070	4625	0.199	0.446	0.84	0.75	0.75	375.1	-2.89	2427.0	-0.96	19448	-1484	-7.6	25.0	21,011	AL
Butler County, AL	3.5	5.25	17.5	53.5	6.2	AL	Butler County	3	Butler County	Alabama	408	328	80	5	4	49	38	19	0.24	1.63	0.13	0.21	0.032	10377	2070	4625	0.199	0.446	0.84	0.75	0.75	375.1	-2.89	2427.0	-0.96	19448	-1484	-7.6	25.0	21,011	AL
Butler County, AL	3.43	5.14	17.14	59.0	6.0	AL	Butler County	6	Butler County	Alabama	408	328	80	5	4	49	38	19	0.24	1.63	0.13	0.21	0.032	10377	2070	4625	0.199	0.446	0.84	0.75	0.75	375.1	-2.89	2427.0	-0.96	19448	-1484	-7.6	25.0	21,011	AL
Butler County, AL	4.31	5.92	16.38	61.54	5.49	AL	Butler County	12	Butler County	Alabama	408	328	80	5	4	49	38	19	0.24	1.63	0.13	0.21	0.032	10377	2070	4625	0.199	0.446	0.84	0.75	0.75	375.1	-2.89	2427.0	-0.96	19448	-1484	-7.6	25.0	21,011	AL
Butler County, AL	4.19	5.5	15.62	65.38	5.11	AL	Butler County	18	Butler County	Alabama	408	328	80	5	4	49	38	19	0.24	1.63	0.13	0.21	0.032	10377	2070	4625	0.199	0.446	0.84	0.75	0.75	375.1	-2.89	2427.0	-0.96	19448	-1484	-7.6	25.0	21,011	AL
Calhoun County, AL	94.5	97.5	233.0	57.5	2.5	AL	Calhoun County	1	Calhoun County	Alabama	1846	1091	755	192	73	390	186	91	0.69	1.94	1.03	0.8	0.042	25743	2783	6354	0.108	0.247	0.62	0.6	0.6	552.1	0.04	1277.0	0.11	113605	-4803	-4.2	185.5	72,734	AL
Calhoun County, AL	88.0	97.25	247.0	58.75	2.88	AL	Calhoun County	3	Calhoun County	Alabama	1846	1091	755	192	73	390	186	91	0.69	1.94	1.03	0.8	0.042	25743	2783	6354	0.108	0.247	0.62	0.6	0.6	552.1	0.04	1277.0	0.11	113605	-4803	-4.2	185.5	72,734	AL
Calhoun County, AL	87.86	90.43	260.0	57.29	3.01	AL	Calhoun County	6	Calhoun County	Alabama	1846	1091	755	192	73	390	186	91	0.69	1.94	1.03	0.8	0.042	25743	2783	6354	0.108	0.247	0.62	0.6	0.6	552.1	0.04	1277.0	0.11	113605	-4803	-4.2	185.5	72,734	AL
Calhoun County, AL	104.23	115.15	281.85	50.69	2.78	AL	Calhoun County	12	Calhoun County	Alabama	1846	1091	755	192	73	390	186	91	0.69	1.94	1.03	0.8	0.042	25743	2783	6354	0.108	0.247	0.62	0.6	0.6	552.1	0.04	1277.0	0.11	113605	-4803	-4.2	185.5	72,734	AL
Calhoun County, AL	103.94	116.19	275.88	49.81	2.71	AL	Calhoun County	18	Calhoun County	Alabama	1846	1091	755	192	73	390	186	91	0.69	1.94	1.03	0.8	0.042	25743	2783	6354	0.108	0.247	0.62	0.6	0.6	552.1	0.04	1277.0	0.11	113605	-4803	-4.2	185.5	72,734	AL
Chambers County, AL	14.5	25.5	78.0	29.0	5.4	AL	Chambers County	1	Chambers County	Alabama	516	371	145	49	26	116	80	49	0.39	1.25	0.61	0.53	0.041	8966	1903	3808	0.212	0.425	0.48	0.44	0.44	162.3	0.76	1760.0	-0.28	33254	-868	-2.6	55.1	26,381	AL
Chambers County, AL	15.25	25.75	77.0	29.25	5.1	AL	Chambers County	3	Chambers County	Alabama	516	371	145	49	26	116	80	49	0.39	1.25	0.61	0.53	0.041	8966	1903	3808	0.212	0.425	0.48	0.44	0.44	162.3	0.76	1760.0	-0.28	33254	-868	-2.6	55.1	26,381	AL
Chambers County, AL	17.14	24.71	73.57	25.57	4.54	AL	Chambers County	6	Chambers County	Alabama	516	371	145	49	26	116	80	49	0.39	1.25	0.61	0.53	0.041	8966	1903	3808	0.212	0.425	0.48	0.44	0.44	162.3	0.76	1760.0	-0.28	33254	-868	-2.6	55.1	26,381	AL
Chambers County, AL	17.0	26.31	67.23	31.08	4.67	AL	Chambers County	12	Chambers County	Alabama	516	371	145	49	26	116	80	49	0.39	1.25	0.61	0.53	0.041	8966	1903	3808	0.212	0.425	0.48	0.44	0.44	162.3	0.76	1760.0	-0.28	33254	-868	-2.6	55.1	26,381	AL
Chambers County, AL	15.5	23.5	60.62	37.38	4.47	AL	Chambers County	18	Chambers County	Alabama	516	371	145	49	26	116	80	49	0.39	1.25	0.61	0.53	0.041	8966	1903	3808	0.212	0.425	0.48	0.44	0.44	162.3	0.76	1760.0	-0.28	33254	-868	-2.6	55.1	26,381	AL
Cherokee County, AL	13.0	22.0	76.5	74.0	5.95	AL	Cherokee County	1	Cherokee County	Alabama	1140	775	365	134	39	436	262	157	0.47	0.84	0.51	0.25	0.043	18231	4747	7684	0.26	0.421	0.5	0.48	0.48	336.8	1.2	878.0	0.51	26196	233	0.9	43.7	37,393	AL
Cherokee County, AL	12.0	20.75	76.0	59.5	7.3	AL	Cherokee County	3	Cherokee County	Alabama	1140	775	365	134	39	436	262	157	0.47	0.84	0.51	0.25	0.043	18231	4747	7684	0.26	0.421	0.5	0.48	0.48	336.8	1.2	878.0	0.51	26196	233	0.9	43.7	37,393	AL
Cherokee County, AL	13.71	19.86	77.86	61.14	6.31	AL	Cherokee County	6	Cherokee County	Alabama	1140	775	365	134	39	436	262	157	0.47	0.84	0.51	0.25	0.043	18231	4747	7684	0.26	0.421	0.5	0.48	0.48	336.8	1.2	878.0	0.51	26196	233	0.9	43.7	37,393	AL
Cherokee County, AL	19.46	23.77	81.31	59.62	4.94	AL	Cherokee County	12	Cherokee County	Alabama	1140	775	365	134	39	436	262	157	0.47	0.84	0.51	0.25	0.043	18231	4747	7684	0.26	0.421	0.5	0.48	0.48	336.8	1.2	878.0	0.51	26196	233	0.9	43.7	37,393	AL
Cherokee County, AL	20.62	25.19	80.69	60.44	4.59	AL	Cherokee County	18	Cherokee County	Alabama	1140	775	365	134	39	436	262	157	0.47	0.84	0.51	0.25	0.043	18231	4747	7684	0.26	0.421	0.5	0.48	0.48	336.8	1.2	878.0	0.51	26196	233	0.9	43.7	37,393	AL
Chilton County, AL	31.0	34.0	88.5	58.0	2.85	AL	Chilton County	1	Chilton County	Alabama	1508	1086	422	83	37	492	365	231	0.39	0.86	0.23	0.16	0.085	12799	975	4397	0.076	0.344	0.78	0.75	0.75	210.0	-0.32	1111.0	0.27	44428	775	1.7	63.4	31,517	AL
Chilton County, AL	31.75	33.0	96.0	61.75	3.38	AL	Chilton County	3	Chilton County	Alabama	1508	1086	422	83	37	492	365	231	0.39	0.86	0.23	0.16	0.085	12799	975	4397	0.076	0.344	0.78	0.75	0.75	210.0	-0.32	1111.0	0.27	44428	775	1.7	63.4	31,517	AL
Chilton County, AL	27.0	33.14	106.14	60.0	4.43	AL	Chilton County	6	Chilton County	Alabama	1508	1086	422	83	37	492	365	231	0.39	0.86	0.23	0.16	0.085	12799	975	4397	0.076	0.344	0.78	0.75	0.75	210.0	-0.32	1111.0	0.27	44428	775	1.7	63.4	31,517	AL
Chilton County, AL	33.15	39.31	105.23	52.46	3.62	AL	Chilton County	12	Chilton County	Alabama	1508	1086	422	83	37	492	365	231	0.39	0.86	0.23	0.16	0.085	12799	975	4397	0.076	0.344	0.78	0.75	0.75	210.0	-0.32	1111.0	0.27	44428	775	1.7	63.4	31,517	AL
Chilton County, AL	34.0	40.0	103.75	53.94	3.44	AL	Chilton County	18	Chilton County	Alabama	1508	1086	422	83	37	492	365	231	0.39	0.86	0.23	0.16	0.085	12799	975	4397	0.076	0.344	0.78	0.75	0.75	210.0	-0.32	1111.0	0.27	44428	775	1.7	63.4	31,517	AL
Choctaw County, AL	1.0		1.0		1.0	AL	Choctaw County	6	Choctaw County	Alabama	72	39	33	0	0	0	0	0	0.85	33.0	0.0	0.0	0.003	15105	2832	6527	0.187	0.432	0.27	0.11	0.11	1116.0	7.86	892.0	0.5	12589	-1260	-10.0	13.7	23,498	AL
Choctaw County, AL	1.2	1.0	1.6	133.0	1.4	AL	Choctaw County	12	Choctaw County	Alabama	72	39	33	0	0	0	0	0	0.85	33.0	0.0	0.0	0.003	15105	2832	6527	0.187	0.432	0.27	0.11	0.11	1116.0	7.86	892.0	0.5	12589	-1260	-10.0	13.7	23,498	AL
Choctaw County, AL	1.33	1.0	1.83	171.5	1.42	AL	Choctaw County	18	Choctaw County	Alabama	72	39	33	0	0	0	0	0	0.85	33.0	0.0	0.0	0.003	15105	2832	6527	0.187	0.432	0.27	0.11	0.11	1116.0	7.86	892.0	0.5	12589	-1260	-10.0	13.7	23,498	AL
